Internal_IP,Machine_ID,Local,Device_Name,TCP_Port,COM_Port,OS_Spec,IP_Source,Category,Online_Test,Set_Time,Remark,歲修,File_Place,所在區域(柱位),alive_or_dead
172.25.45.22,2890 CQL Server,K18-9F,20230417-W03,,,,, EAP,,,,,K18\9F\K18-9F 區(45).csv,,alive
172.25.45.23,2890 Server-1,K18-9F,,,,,, EAP,,,,,K18\9F\K18-9F 區(45).csv,,dead
172.25.45.24,2890  RPA Server,K18-9F,20240326-W04,,,,, EAP,,,,,K18\9F\K18-9F 區(45).csv,,alive
172.25.45.25,2890 Server-2,K18-9F,20250214-W67,,,,, EAP,,,,,K18\9F\K18-9F 區(45).csv,,alive
172.25.45.26,2890-K01防錯料系統,K18-9F,20250214-W58,,,,, EAP,,,,,K18\9F\K18-9F 區(45).csv,,alive
172.25.45.27,2890-K02防錯料系統,K18-9F,20220222-W31,,,,, EAP,,,,,K18\9F\K18-9F 區(45).csv,,alive
172.25.45.28,2890-K03防錯料系統,K18-9F,20240326-W02,,,,, EAP,,,,,K18\9F\K18-9F 區(45).csv,,alive
172.25.45.29,2890-K04防錯料系統,K18-9F,20240326-W05,,,,, EAP,,,,,K18\9F\K18-9F 區(45).csv,,alive
172.25.45.30,2890-K05防錯料系統,K18-9F,20240326-W06,,,,, EAP,,,,,K18\9F\K18-9F 區(45).csv,,alive
172.25.45.31,2890-K06防錯料系統,K18-9F,,,,,, EAP,,,,,K18\9F\K18-9F 區(45).csv,,dead
172.25.45.32,,K18-9F,,,,,, EAP,,,,,K18\9F\K18-9F 區(45).csv,,dead
172.25.45.33,,K18-9F,,,,,, EAP,,,,,K18\9F\K18-9F 區(45).csv,,dead
172.25.45.34,,K18-9F,,,,,, EAP,,,,,K18\9F\K18-9F 區(45).csv,,dead
172.25.45.35,2450-K901,K18-9F,EQP,,,,, EAP,,,,,K18\9F\K18-9F 區(45).csv,,alive
172.25.45.36,,K18-9F,,,,,, EAP,,,,,K18\9F\K18-9F 區(45).csv,,dead
172.25.45.37,,K18-9F,,,,,, EAP,,,,,K18\9F\K18-9F 區(45).csv,,dead
