Internal_IP,Machine_ID,Local,Device_Name,TCP_Port,COM_Port,OS_Spec,IP_Source,Category,Online_Test,Set_Time,Remark,歲修,File_Place,所在區域(柱位),alive_or_dead
172.21.29.1,2900(Auto)_EAP,K11-3F,20200603-W21,,,WIN10,EAP-16, EAP,,2020/9/14,AP02,Y,K11\3F\K11-3F 區網(29).csv,11_3F D7CIM3-2EAP機櫃內,alive
172.21.29.2,2930(RMS)_EAP,K11-3F,20220302-W03,,,WIN7,EAP-14, EAP,,,,Y,K11\3F\K11-3F 區網(29).csv,11_3F D7CIM3-2EAP機櫃內,alive
172.21.29.3,2930(AOI)_EAP,K11-3F,20180606-W11,,,WIN10,EAP-15, EAP,,2022/1/10,,Y,K11\3F\K11-3F 區網(29).csv,11_3F D7CIM3-2EAP機櫃內,alive
172.21.29.4,2900(BDS)_EAP,K11-3F,20200603-W30,,,WIN10,EAP-17, EAP,,,,Y,K11\3F\K11-3F 區網(29).csv,11_3F D7CIM3-2EAP機櫃內,alive
172.21.29.5,,K11-3F,,,,,, EAP,,,,,K11\3F\K11-3F 區網(29).csv,,dead
172.21.29.6,2900-K01_EAP,K11-3F,20250829-Y11,,,WIN7,, EAP,,2021/11/11,,,K11\3F\K11-3F 區網(29).csv,,alive
172.21.29.7,2900-K02_EAP,K11-3F,20181008-W12,,,WIN7,, EAP,,2021/11/11,,,K11\3F\K11-3F 區網(29).csv,,alive
172.21.29.8,2900-K03_EAP,K11-3F,20210924-W47,,,,, EAP,,2021/11/8,,,K11\3F\K11-3F 區網(29).csv,,alive
172.21.29.9,2900-K04_EAP,K11-3F,20181221-W10,,,,, EAP,,2021/11/8,,,K11\3F\K11-3F 區網(29).csv,,alive
172.21.29.10,2900-K05_EAP,K11-3F,20181008-W05,,,,, EAP,,,,,K11\3F\K11-3F 區網(29).csv,,alive
172.21.29.11,2900-K06_EAP,K11-3F,20190311-W12,,,,, EAP,,,,,K11\3F\K11-3F 區網(29).csv,,dead
172.21.29.12,2900-K07_EAP,K11-3F,20181221-W09,,,,, EAP,,,,,K11\3F\K11-3F 區網(29).csv,,alive
172.21.29.13,2900-K08_EAP,K11-3F,20230310-W107,,,,, EAP,,,,,K11\3F\K11-3F 區網(29).csv,,alive
172.21.29.14,2900-K09_EAP,K11-3F,20190311-W16,,,,, EAP,,,,,K11\3F\K11-3F 區網(29).csv,,alive
172.21.29.15,2900-K10_EAP,K11-3F,20181221-W06,,,,, EAP,,,,,K11\3F\K11-3F 區網(29).csv,,alive
172.21.29.16,2900-K11_EAP,K11-3F,,,,,, EAP,,,,,K11\3F\K11-3F 區網(29).csv,,dead
172.21.29.17,2900-K12_EAP,K11-3F,20190311-W18,,,,, EAP,,2021/12/2,,,K11\3F\K11-3F 區網(29).csv,,alive
172.21.29.18,2900-K13_EAP,K11-3F,20190109-W26,,,,, EAP,,2021/12/2,,,K11\3F\K11-3F 區網(29).csv,,alive
172.21.29.19,2900-K14_EAP,K11-3F,20190109-W24,,,,, EAP,,2019/10/14,,,K11\3F\K11-3F 區網(29).csv,,alive
172.21.29.20,2900-K15_EAP,K11-3F,20190109-W27,,,,, EAP,,2019/10/14,,,K11\3F\K11-3F 區網(29).csv,,alive
172.21.29.21,2900-K16_EAP,K11-3F,20190311-W19,,,,, EAP,,2020/12/30,,,K11\3F\K11-3F 區網(29).csv,,alive
172.21.29.22,2900-K17_EAP,K11-3F,20250623-Y14,,,,, EAP,,2020/12/30,,,K11\3F\K11-3F 區網(29).csv,,alive
172.21.29.23,2900-K18_EAP,K11-3F,20220311-W31,,,,, EAP,,2021/12/2,,,K11\3F\K11-3F 區網(29).csv,,alive
