Internal_IP,Machine_ID,Local,Device_Name,TCP_Port,COM_Port,OS_Spec,IP_Source,Category,Online_Test,Set_Time,Remark,歲修,File_Place,所在區域(柱位),alive_or_dead
172.21.78.1,4950-901~915_EAP,K11-9F,20220119-W06,,,,, EAP,,2016-03-22,,Y,K11\9F\K11-9F 區網(78).csv,11_9F D2CIM9-5EAP機櫃內,alive
172.21.78.2,4950-916~930_EAP,K11-9F,20220119-W02,,,,, EAP,,2016-03-22,,Y,K11\9F\K11-9F 區網(78).csv,11_9F D2CIM9-5EAP機櫃內,alive
172.21.78.3,4950-931~946_EAP,K11-9F,20220119-W18,,,,, EAP,,2019-01-14,AP01,Y,K11\9F\K11-9F 區網(78).csv,11_9F D2CIM9-5EAP機櫃內,alive
172.21.78.4,4950_EAP,K11-9F,20180606-W06,,,,, EAP,,,,Y,K11\9F\K11-9F 區網(78).csv,11_9F B3柱4950-903機台後,alive
172.21.78.5,,K11-9F,,,,,, EAP,,,,,K11\9F\K11-9F 區網(78).csv,,dead
172.21.78.6,4850_EAP,K11-9F,20130508-W05,,,,, EAP,,2016-03-22,,Y,K11\9F\K11-9F 區網(78).csv,11_9F D2CIM9-5EAP機櫃內,alive
172.21.78.7,,K11-9F,,,,,, EAP,,,,,K11\9F\K11-9F 區網(78).csv,,dead
172.21.78.8,,K11-9F,,,,,, EAP,,,,,K11\9F\K11-9F 區網(78).csv,,dead
172.21.78.9,,K11-9F,,,,,, EAP,,,,,K11\9F\K11-9F 區網(78).csv,,dead
172.21.78.10,,K11-9F,,,,,, EAP,,,,,K11\9F\K11-9F 區網(78).csv,,dead
172.21.78.11,,K11-9F,,,,,, EAP,,,,,K11\9F\K11-9F 區網(78).csv,,dead
172.21.78.12,,K11-9F,,,,,, EAP,,,,,K11\9F\K11-9F 區網(78).csv,,dead
172.21.78.13,,K11-9F,,,,,, EAP,,,,,K11\9F\K11-9F 區網(78).csv,,dead
172.21.78.14,,K11-9F,,,,,, EAP,,,,,K11\9F\K11-9F 區網(78).csv,,dead
172.21.78.15,,K11-9F,,,,,, EAP,,,,,K11\9F\K11-9F 區網(78).csv,,dead
172.21.78.16,,K11-9F,,,,,, EAP,,,,,K11\9F\K11-9F 區網(78).csv,,dead
172.21.78.17,,K11-9F,,,,,, EAP,,,,,K11\9F\K11-9F 區網(78).csv,,dead
172.21.78.18,,K11-9F,,,,,, EAP,,,,,K11\9F\K11-9F 區網(78).csv,,dead
172.21.78.19,,K11-9F,,,,,, EAP,,,,,K11\9F\K11-9F 區網(78).csv,,dead
172.21.78.20,,K11-9F,,,,,, EAP,,,,,K11\9F\K11-9F 區網(78).csv,,dead
172.21.78.21,,K11-9F,,,,,, EAP,,,,,K11\9F\K11-9F 區網(78).csv,,dead
172.21.78.22,,K11-9F,,,,,, EAP,,,,,K11\9F\K11-9F 區網(78).csv,,dead
